セッションタイトル,セッション概要,トラック,セッションレベル,対象オーディエンス,スピーカー名,スピーカーAlias,ヨミガナ,会社名,部署名,役職,セッションで使用する言語,他のスピーカ,Internal or External,受講対象文言,関連MVA(1)タイトル,関連MVA(1)URL,関連MVA(2)タイトル,関連MVA(2)URL,関連MVA(3)タイトル,関連MVA(3)URL,関連製品テクノロジーキーワード,セッションID,Discloser Plan,Item Type,Path
ここまで出来る ! Azure AD と Office 365 連携開発の先進手法,Office 365 のアプリケーション開発は、データの読み書きだけではありません。本セッションでは、Office 365 の認証基盤である Azure Active Directory (Azure AD) と Office 365 API の最近プレビュー公開 (またはリリース) された新機能を用いて、高度なシナリオを実現する開発手法を実際のデモをまじえて紹介します。,5.Productivity,300,開発者,松崎剛,tsmatsuz,マツザキツヨシ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,Office 365 の連携開発の経験者や、これから開発をはじめようとお考え方は、ぜひご参加ください。,,,,,,,Web開発;#Office 365;#クラウド,PRD-004,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Skype Developer Platform によるアプリケーション開発の最新情報,Skype の開発基盤は Web の標準化と共に進化していきます。本セッションでは、ブラウザーやスマート フォンを使ったビデオ会議など、オンプレミスとクラウドにおける Skype の最新 API と今後のマイルストーンを紹介します。,5.Productivity,200,開発者,松崎剛,tsmatsuz,マツザキツヨシ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,Skype for Business および Skype for Business Online を使った開発にご興味をお持ちの方はぜひご参加ください。,,,,,,,Web開発;#クラウド開発;#Office 365;#クラウド,PRD-005,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Office 365 Enterprise E5 による高度な音声プラットフォームの展開,Skype for Business OnlineによるCloud PBXの構成と展開について説明を行います。,5.Productivity,300,ITプロ,森 健太郎,kemori,モリ ケンタロウ,日本マイクロソフト株式会社,CSS  ASG  Unified Communications Support,Premier Field Engineer,日本語,検討中,Internal Only,,,,,,,,Office 365;#クラウド,PRD-001,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
わかる！ExpressRoute for Office 365 ,"Office 365 を ExpressRoute で使用すると何が実現できるのか、昨年 12 月より提供を開始している ExpressRoute for Office 365 について分かりやすく解説します。 

受講対象：導入をご検討中のエンドユーザー様や提案をご検討中のパートナー様はぜひご参加ください。",5.Productivity,200,ITプロ,廣瀬 望,nhirose,ヒロセ ノゾム,マイクロソフト株式会社,,"Security, Identity and Networking Technology Solutions Professional",日本語,"NTTコミュニケーションズ株式会社 ネットワークサービス部
マネージャー 飯塚 淳史 様

株式会社インターネットイニシアティブ
ソリューション本部 エンタープライズソリューション部
MSソリューション推進課　  高橋 烈 様
",External,,,,,,,,情報セキュリティ;#Office 365;#クラウド,PRD-003,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Azure IaaS 最新動向,"本セッションでは、数ある Azure サービスの中でも引き合いの多い Azure IaaS の最新動向についてわかりやすく解説します。これから主流となっていく Azure IaaS V2 の利点、VM Scale Set など、ここ最近強化された IaaS 周りの新しいテクノロジーや、今後のロードマップについてご紹介します。

受講対象：Azure IaaS V1 を既にご利用頂いている方はもちろん、これから Azure IaaS をご検討されている方は、是非ご参加ください。",3.Infrastructure,300,ITプロ;#アーキテクト,池田 祐一,yuichii,イケダ ユウイチ,日本マイクロソフト株式会社,クラウド&ソリューションビジネス統括本部　Azure技術部,クラウドソリューションアーキテクト,日本語,,Internal Only,,,,,,,,Microsoft Azure,INF-002,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
.NET Core / ASP.NET Core が実現するクロスプラットフォーム .NET の今と未来,新しく登場した .NET Core 1.0 と ASP.NET Core 1.0 は、Windows 環境に加えて Linux や Mac OS X にも対応する、新しい .NET ランタイムとフレームワークです。サーバーサイドのクロスプラットフォームに対応するフットプリントの軽いこれらのランタイムとフレームワークの登場は、本格化するクラウド環境へ柔軟に適応できるスケーラブルなアプリケーション構築において重要な役割を果たします。本セッションでは、.NET Core と ASP.NET Core の登場の背景やそれらが目指す将来像もふまえつつ、その仕組みや使用方法などを解説します。,1.Development,300,開発者;#アーキテクト,井上 章,akirain,イノウエ アキラ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,,Internal Only,.NET や クラウド アプリケーション開発に携わる開発者の皆様。新しい .NET Core の動向にご興味をお持ちの方はぜひご参加ください！,.NET Core Home on GitHub,https://github.com/dotnet/core,ASP.NET Core Home on GitHub,https://github.com/aspnet/Home,VS 魂,http://aka.ms/vs-soul,Web開発;#クラウド開発;#OSS;#開発言語;#クロスプラットフォーム;#Windows;#Microsoft Azure;#Windows Server;#Visual Stuido;#.NET;#クラウド,DEV-002,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
クラウド ネイティブERP - Dynamics AX のアーキテクチャ・環境構築から開発・運用まで,クラウドネイティブERPであるDynamics AXはMicrosoft Azureを含む様々なMicrosoftのテクノロジースタックの上に実現しています。当セッションでは、SaaS型ERPが構築・開発・運用の中でどのようなメリットがあるかをお伝えしていきます。,5.Productivity,200,ITプロ;#アーキテクト,鈴井 洋介,yosukes,スズイ ヨウスケ,日本マイクロソフト株式会社,Dynamics ビジネス統括本部,プリンシパル テクノロジー スペシャリスト,日本語,,Internal Only,ホスティングでは無いSaaS型のビジネスアプリケーションの運用や構築に興味のある方。AXの技術者だけでなく、他ERP をの運用や開発にかかわっている方にもお勧めセッションです。,Microsoft ERPソリューション Dynamics AX,https://www.microsoft.com/ja-jp/dynamics/erp-ax-overview.aspx,Dynamicsのライフサイクル管理ツール Lifecycle Services,https://www.microsoft.com/ja-jp/dynamics/lcs.aspx,,,クラウド開発;#事業継続;#DevOps(チーム開発);#Microsoft Azure;#Dynamics;#クラウド;#ビッグデータ;#IoT & デバイス;#運用,PRD-008,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
クラウドの ERP による業務システム開発 - OData エンドポイントから Power BI 連携,【日本語セッション】新 Dynamics AX は、最新技術で外部連携を含めた業務アプリケーションをより迅速に開発できるようになりました。OData 準拠のエンドポイントを利用して、C# プログラムから AX のデータを操作する作法を紹介します。AX に標準装備されている Power BI を使ったシステム連携も見どころです。マイクロソフトの製品開発者が紹介するコーディングのテクニックもお見逃しなく。,5.Productivity,400,開発者;#アーキテクト,Leo Guo,leguo,レオ グオ,マイクロソフト コーポレーション,"AX Localization APAC, Global Financial Management, Business Applications, Platform and Intelligence",Senior Program Manager,日本語,Jessie Yao,Internal Only,C#、Visual Studioを使う、全ての業務アプリケーション開発者にお届けするセッションです。この最新版 Dynamics AXでは、固有の技術が必要と思われがちなERPの開発が、その多くが標準的な開発技術で可能になりました。このセッションで、開発技術のスキルアップしてください。,マイクロソフトのERPソリューション Microsoft Dynamics AX,https://www.microsoft.com/ja-jp/dynamics/erp-ax-overview.aspx,Dynamics AXの技術情報,https://ax.help.dynamics.com/,,,クラウド開発;#開発言語;#エンタープライズモビリティ;#クロスプラットフォーム;#Microsoft Azure;#Visual Stuido;#.NET;#Dynamics;#ビッグデータ;#IoT & デバイス,PRD-009,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
機械学習の実践ノウハウ提供します！～AIで広がる夢を現実にする方法～,"AI/Deep Learningというキーワードで夢は広がり「AIを取り入れた製品を開発しよう！」と事業部門から依頼されたけれど、「具体的にはどうやって実装するんだろうか？」と悩んでいる開発者のみなさん、その悩みde:codeで解決しましょう！
本セッションでは、実案件の中でのAI的機能実装方法/アーキテクチャ/メタデータを紹介します。主に人を識別するCognitive Servicesの活用ノウハウ、顧客分析のためのApache Sparkでの数値解析方法、Deep Learningを実現するライブラリCNTKの使用方法を一般的画像解析を例に解説します。",2.Data Platform,300,開発者;#アーキテクト,大田 昌幸,masota,オオタ マサユキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,"來田 泰樹
株式会社アロバ
取締役 CTO

今西杉広
株式会社ディビイ
取締役 CTO

町 裕太
株式会社ウサギィ
代表取締役 CEO",External,実案件の中でのAI的機能実装方法やノウハウに興味がある開発者/アルゴリズムを理解しているわけではないが、ソリューションにはAI的機能を組み込みたいと思っている開発者/AIという言葉に疲れた開発者は是非ご参加ください。,Microsoft Cognitive Services,https://www.microsoft.com/cognitive-services/,Apache Spark,https://spark.apache.org/,CNTK(Computational Network Toolkit),http://www.cntk.ai/,クラウド開発;#Microsoft Azure;#クラウド;#ビッグデータ,DBP-014,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Cortana Intelligenceに切り込む！～未来予測の仕組みと実装～,故障検知や顧客分析など「状態が時間で変わる対象の解析」に役立つ時系列解析の仕組みと実現方法を紹介します。具体的にはBig Data解析基盤Cortana Intelligence(CI)を用い、メンテナンス予測シナリオを通して理解します。CIには様々な機能が含まれており、数百万イベント/秒を受信できるEvent Hubsでデータを取り込み、リアルタイム処理基盤Stream Analyticsや大量ログのバッチ処理が得意なHiveで加工し、Azure Machine Learningで予想する一連の処理をStep by Stepで解説します。,2.Data Platform,300,開発者;#ITプロ;#アーキテクト,大田 昌幸,masota,オオタ マサユキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,"佐藤 直生
nasat
サトウ ナオキ
日本マイクロソフト株式会社
デベロッパー エバンジェリズム統括本部
エバンジェリスト",Internal Only,時系列を使った解析に興味がある方/Azureデータプラットフォームの全体像と詳細に興味がある方/蓄積から活用までのデータの一連の変化に興味がある方,Cortana Intelligence Suite,https://www.microsoft.com/en/server-cloud/cortana-intelligence-suite/overview.aspx,,,,,クラウド開発;#Microsoft Azure;#クラウド;#ビッグデータ;#IoT & デバイス,DBP-013,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
サーバー1台、1ファイルからはじめる、Azureを活用したバックアップ・DR　～高コストDR環境の乗り換えにもどうぞ～,インターネットさえつながれば、どこからでも、誰でも、クラウドへのバックアップ、DRが可能な時代となりました。サーバー1台、1ファイルから今すぐ開始できます。インフラとしては物理サーバー、VMwareを含む仮想ホスト、OSとしてはRedHatを含むLinux、Windowsなどヘテロな環境に対応しています。本セッションでは、Azureを活用したバックアップ・DRについて、実際のDR対象システム要件を複数例示しながら徹底解説致します。高コストなDR環境に課題をお持ちの方も必見です。,3.Infrastructure,300,ITプロ;#アーキテクト,公森　義貴,yokomori,コウモリ ヨシキ,日本マイクロソフト株式会社,クラウドプラットフォーム技術部,テクノロジーソリューションズプロフェッショナル,日本語,,Internal Only,,,,,,,,事業継続;#OSS;#Windows;#Microsoft Azure;#Windows Server;#System Center;#SQL Server;#クラウド;#運用,INF-006,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
プログラミング言語は何処へ向かうのか,汎用のプログラミング言語 (GPL) は、ますます関数型言語の要素を包含するようになってきました。その一方で、関数型言語は盛り上がりを見せながら、広くメジャーになりきれていません。この理由は、何なのでしょうか ？ 深層学習がクラウド サービスによって身近になりましたが、人口知能 (AI) の実装には論理型言語が古くから使われてきました。その理由は、何なのでしょうか ? この Charlk Talk では、プログラミング パラダイムを参照しながら、参加者の知見を集約して、プログラミング言語が何処へ向かおうとしているのかを議論します。,9.Chalk Talk,400,開発者;#アーキテクト,荒井　省三,shozoa,アライ　ショウゾウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,宣言型パラダイムや関数型プログラミング言語を知っており、参照透過性や副作用 (Side Effect) 、カリー化などの基礎知識を持っている方を前提とします。,,,,,,,Web開発;#UWP開発;#クラウド開発;#OSS;#開発言語;#クロスプラットフォーム;#.NET,CHK-004,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
止まらないサービスを! ～マイクロサービス プラットフォーム「Azure Service Fabric」～,Azure Service Fabric は、Cortana や Azure 自体の内部で使われているマイクロサービスのためのアプリケーション プラットフォームです。Azure Service Fabric は、Azure、Azure Stack など幅広い環境で実行でき、当初は Windows Server ベースで .NET SDK のみを提供していましたが、Build 2016 では Linux や Java SDK のサポートも追加されるなど、機能拡張を続けています。本セッションでは、Azure Service Fabric の最新の全体像、サービスの開発モデル、開発から運用にいたる DevOps のための機能などをご紹介します。そして、日本ビジネスシステムズ株式会社様での実装例をご紹介します。,1.Development,300,開発者;#ITプロ;#アーキテクト,佐藤 直生,nasat,サトウ ナオキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"Eduardo Gonzalez
ゴンザレズ エドワルド
日本ビジネスシステムズ株式会社
社会システムデザインセンタープロト開発部
テクニカルマネージャー
",External,マイクロサービスの開発、運用、アーキテクチャ設計に興味のあるアーキテクト、開発者、IT プロの皆様は、ぜひご参加ください。,Azure Service Fabric,https://azure.microsoft.com/ja-jp/services/service-fabric/,,,,,クラウド開発;#DevOps(チーム開発);#OSS;#開発言語;#Microsoft Azure;#Windows Server;#Visual Stuido;#.NET;#クラウド;#運用,DEV-016,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
オープンソースエディタ Visual Studio Code の極意,今年4月に正式リリースしたばかりの「Visual Studio Code」。Web 開発からさまざまな使いこなしもできるマイクロソフトの多機能で軽量なコードエディターです。主要 OS (Windows/Mac OS/Linux) に対応し、オープンソースとしてGitHub上に公開され、今、開発者が「使ってみたい」と話題のソフトウェアです。本セッションでは、実際の製品デモを交えながら OS 環境や言語にとらわれない開発手法からVisual Studio Codeのオープンな世界を一挙にご紹介します。,1.Development,300,開発者;#ITプロ,戸倉 彩,ayayu,トクラ アヤ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,"GitHub, Inc
Solutions Engineer
池田 尚史",Internal Only,Mac Book で Sublime Text や Vim を使って Web / スマホアプリ開発をされている方はぜひご参加ください。,,,,,,,Web開発;#OSS;#Visual Stuido,DEV-001,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
メーカーがおしえてくれない正しいクラウドについて,VMware 社とマイクロソフトの両方の技術に精通している、vExpert 達でお送りするパネルディスカッション。このセッションでは、仮想化からクラウドへの変遷にまつわる話や、これからのクラウドについてのお話しをわかりやすいトーンでお送りいたします。,3.Infrastructure,200,ITプロ,山本美穂,miyamam,ヤマモトミホ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカルエバンジェリスト,日本語,"日本ヒューレット・パッカード株式会社　プリセールス統括本部　サーバー技術本部　テクノロジーエバンジェリスト　小川大地
ユニアデックス株式会社　戦略マーケティング部　エバンジェリスト　高橋優亮
株式会社　ネットワールド　SI技術本部 システムアーキテクトグループ　工藤真臣",External,仮想化とクラウドの違いってなに？VMware の技術に詳しい人達にはこれからのクラウドがどんなふうに見えているのかご興味がある方はぜひご参加ください。,,,,,,,スペシャルセッション;#Microsoft Azure;#Windows Server;#System Center;#クラウド;#運用,INF-020,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
"Azure Pack, Azure Stack で作る ハイパフォーマンス DB as a Service",プライベートクラウドの有力な選択肢となった Windows Azure Pack ですが、実は DB as a Service 機能の利用率がとても高いのをご存知ですか？本セッションではプライベートクラウドで DBaaS を提供するメリットと高速なハードウェアと組み合わせたハイパフォーマンス DBaaS の魅力をご紹介します。さらに、現在開発中の Azure Stack の DBaaS についてもご紹介します。,3.Infrastructure,300,ITプロ,小塚 大介,v-dkozu,コヅカ ダイスケ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,オーディエンスエバンジェリズムマネージャー,日本語,,Internal Only,プライベートクラウドに興味のある皆様、インフラエンジニアの皆様はぜひご参加ください。,Windows Azure Pack,https://www.microsoft.com/ja-jp/server-cloud/products-Windows-Azure-Pack.aspx,Microsoft Azure Stack,https://azure.microsoft.com/ja-jp/overview/azure-stack/,,,Windows Server;#SQL Server;#クラウド,INF-014,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Azure Active Directory 最新動向 ～今後の Active Directory はどうあるべきか～,"継続的に機能拡張が進められている Azure Active Directory、提供開始から 3 年が経過した現在では、オンプレの Active Directory とあわせ、今後の認証基盤を検討する上で欠かせないものになりつつあります。
本セッションでは、Azure Active Directory の機能拡張、その用途に応じた B2E/B2B/B2C などの提供形態のご紹介も含め、今後の Active Directory がどうあるべきかを解説します。",3.Infrastructure,300,ITプロ,須澤 英彰,hsuzawa,スザワ ヒデアキ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジーソリューションズプロフェッショナル,日本語,,Internal Only,,,,,,,,,INF-008,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Windows Server 2016 のSoftware Defined Storage のしくみと活用,Software Defined な技術はもうすでにコモディティー化しているといっても過言ではありません。ストレージの世界も同様で、Hyper Converged をはじめとした Software Defined Storage はプライベート・ハイブリッドクラウドを支える基本のコア技術である Windows Server においても様々な機能を提供しています。このセッションでは、次期 Windows Server で実装される Storage Spaces Direct や Storage Replica といった 新機能を中心にマイクロソフトの Software Defined Storage への取り組みを解説いたします。,3.Infrastructure,300,ITプロ;#アーキテクト,山本　美穂,miyamam,ヤマモトミホ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカルエバンジェリスト,日本語,,Internal Only,サーバー管理者、ストレージ管理者、物理インフラの導入に携わる方,,,,,,,Windows Server;#運用,INF-017,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
本音で語る、MicrosoftのOSSはどうなのよ?,"Microsoft Loves Linuxの衝撃以来、矢継ぎ早にMicrosoftがOpen Source Communityと一緒に動いて、Windows以外への製品の提供も始めています。全てがすぐに実用で使えるわけではないでしょうが、実サービスで利用されているケースも多々あります。
こちらでは、今、どうなの?今後どうなの?というところを中心にディスカッションを行います。",9.Chalk Talk,300,開発者;#ITプロ;#アーキテクト,新井　真一郎,shiarai,アライ　シンイチロウ,日本マイクロソフト株式会社,クラウド&エンタープライズビジネス本部,シニアプロダクトマーケティングマネージャー,日本語,日本マイクロソフト　増渕大輔,Internal Only,実サービスでOSS開発・運用に携わる全ての皆さまはご参加ください,,,,,,,Web開発;#クラウド開発;#OSS;#クロスプラットフォーム;#Microsoft Azure,CHK-006,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Developing on the Edge. ～ Web プラットフォームと Cordova ～,HTML5 はその機能性、相互運用性の高さから Web ブラウザーの枠を飛び出し、プラットフォームの垣根を越える開発フレームワークとして利用されています。このセッションでは EdgeHTML を利用するユニバーサル Windows アプリの開発と Cordova を使用したハイブリットアプリの開発について紹介します。,1.Development,300,開発者,物江 修,osamum,モノエ オサム,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,ハイブリッドアプリ、Web フロントエンドにかかわる方はぜひお越しください,,,,,,,Web開発;#UWP開発;#OSS;#クロスプラットフォーム,DEV-008,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
マイクロソフト最新テクノロジーと魅力あふれる未来像,続々とリリースされる新しいデバイスやソリューションは、今までになかった使い方を通して私たちの未来を見せてくれます。ここ数年の、そしてこらからのモバイルとクラウドの進化がもたらす未来とはどんなものでしょう？本セッションでは、現在入手可能な最新のデバイスとこれから市場に出回るデバイスを実際にお見せしながら、マイクロソフトテクノロジーがもたらす未来をお見せします。,8.Special,200,開発者;#ITプロ;#アーキテクト,西脇 資哲,monishiw,にしわき もとあき,日本マイクロソフト株式会社,コーポレート戦略統括本部,業務執行役員、エバンジェリスト,日本語,,Internal Only,すべてのエンジニア,,,,,,,スペシャルセッション;#Windows,SPL-001,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Big Data / 機械学習がソフトウェア開発手法を変える! ～静的アルゴリズムから動的アルゴリズム生成への道～,クラウドが一番活用されるシナリオとしてBig Dataがあります。その恩恵を一番受けるのが機械学習というアプローチです。このセッションでは、機械学習がソフトウェア開発にどういうインパクトを与えるのかを考察します。幾つか出始めた実事例に基づいた実践的な内容をご紹介します。このセッションではAzure Machine Learningの説明はしません!,6.Architecture,400,開発者;#アーキテクト,田丸　健三郎,kenzat,タマル　ケンザブロウ,日本マイクロソフト株式会社,技術統括室,ナショナルテクノロジーオフィサー,日本語,,Internal Only,,,,,,,,開発言語;#Microsoft Azure;#クラウド;#ビッグデータ,ARC-004,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
クラウド心配性な上司を説得するコツを伝授します～ 本当に信頼できるクラウドの構築/運用とは? マイクロソフト クラウド成,"「クラウド使いたいけど、セキュリティについて経営陣からつっこまれたら、なんて答えればいいんだろう・・・」こんな悩みをお持ちの方に、このセッションをお届けします。
本セッションでは、「心配性な上司を説得するために必要な理論武装」を念頭に置きつつ、AzureやOffice365、Dynamics CRM Online などのパブリッククラウドサービスがいかに堅牢なデータセンターで稼働しているかを、構築コンセプトや実装方式を交えながらお伝えします。
このセッションを聴いた貴方は、部屋を出た瞬間から「マイクロソフトクラウド・エバンジェリスト」です！",8.Special,200,開発者;#ITプロ;#アーキテクト,澤 円,msawa,さわまどか,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,"マイクロソフトテクノロジーセンター　センター長, サイバークライムセンター　日本サテライト ",日本語,,Internal Only,すべてのエンジニア,,,,,,,情報セキュリティ;#スペシャルセッション;#クラウド,SPL-002,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
All about 機械学習! ～ 機械学習は魔法の杖か、単なるBig Dataのはけ口か～,機械学習の民主化といっても、ツールで全て解決するわけではありません。ただ、自動車産業やIndustry 4.0など、新しいビジネスとしての成功例が出始めているのも事実です。このChalk Talkでは、皆さんが普段機械学習についてお持ちの疑問を、理論と実装の両面からぶつける場です。Azure MLで出来ること、Deep Learningとは何なのか、AIはどこまで現実的なのかなど、皆さんとディスカッションできればと思っています。,9.Chalk Talk,300,開発者;#アーキテクト,田丸　健三郎,kenzat,タマル　ケンザブロウ,日本マイクロソフト株式会社,技術統括室,ナショナルテクノロジーオフィサー,日本語,日本マイクロソフト　増渕大輔,External,機械学習に関心がある全ての皆さま,,,,,,,開発言語;#Microsoft Azure;#クラウド;#ビッグデータ,CHK-005,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
黒船襲来！世界DevOps トップ企業 x マイクロソフトによるトークバトル セッション,"（同時通訳英語セッション） DevOps の世界のトップ企業 Mesosphere, Chef, HashiCorp そしてMicrosoftの第一人者 が一同に集結して、ディスカッションし、先端技術のデモを繰り広げる西海岸でも見られない夢のトークセッションが実現しました。DevOps x OSS パートナー、クリエーションライン様の協力を得て実現したこの企画、米国の「DevOps そしてマイクロサービスの現在」を日本に居ながらにしてリアルタイムに体験することができます。このまたとない機会をお見逃しなく！",8.Special,300,開発者;#ITプロ;#アーキテクト,牛尾 剛,tsushi,うしおつよし,Microsoft Corporation,ITPro - Japan,Senior Technical Evangelist,英語,"Microsoft Corporation
Partner PM Manager
Sam Guckenheimer 　

Chef
VP of Partner Engineering
James Casey 氏

Mesosphere, Inc.
Head of Developer Advocacy
Aaron Williams　氏

Hashicorp
Creator of Vagrant, Packer, Consul. CEO of Hashicorp 
Mitchell Hashimoto 氏

クリエーションライン株式会社 執行役員
鈴木逸平（すずき いっぺい）氏",External,DevOps に興味のあるエンジニア,,,,,,,DevOps(チーム開発);#OSS,SPL-003,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Windows 10 開発の舞台裏から学ぶエンジニアの未来,"マイクロソフトデベロップメント株式会社（MSD）をご存知でしょうか？一言でいえばマイクロソフト製品の開発チームです。彼らがいかにして Windows 10 を開発しリリースにこぎつけたのか？そこにはどのような秘密があり、どのような改革がなされたのか？そして、MSDは開発者にとっての楽園なのか否か？など、これまで語られなかったマイクロソフト製品開発の舞台裏を、Windows 10 の開発をベースにお話しします。そこにはエンジニアの未来があるはずです。
※内容は予告なく変更されることがあります",8.Special,200,開発者;#ITプロ;#アーキテクト,安達 理,osamua,あだちおさむ,マイクロソフトデベロップメント株式会社,,代表取締役 社長,日本語,,Internal Only,,,,,,,,DevOps(チーム開発);#スペシャルセッション;#Windows,SPL-004,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
裏 Inside Azure ~OSS視点で理解する、Azureのテクノロジー&アーキテクチャー～,Azure における OSS 活用やコミュニティへの貢献が話題です。このセッションでは、OSS がどのように Azure を支えているか、また、クラウド OSS の代表格である OpenStack、Cloud Foundry との比較という切り口で、Azureのテクノロジーとアーキテクチャーを解説します。Azure の内部や技術動向を意識して設計したいアーキテクト必見のセッションです。,7.DevOps & OSS,300,開発者;#ITプロ;#アーキテクト,真壁 徹,tomakabe, まかべ　とおる,日本マイクロソフト株式会社, EPG / クラウド＆ソリューションビジネス統括本部 / データセンター＆Azure営業本部 / 第一Azure技術部,クラウドソリューションアーキテクト,日本語,,Internal Only,,,,,,,,クラウド開発;#OSS;#Microsoft Azure;#クラウド,DOO-005,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
NoSQL in Azure ～ドキュメント指向データベース Azure DocumentDB 徹底解説～,RDBMSに代わるデータベースの選択肢として、各種の NoSQL データベースが登場しています。本セッションでは、Azureにおけるさまざまな NoSQL の選択肢を概説します。そして、JSON データを格納できるドキュメント指向データベース サービス「Azure DocumentDB」について、データ モデル、クエリやAPIをはじめとして、Azure DocumentDBを使う開発者に必要な情報をお伝えします。,2.Data Platform,300,開発者;#アーキテクト,佐藤直生,nasat,サトウナオキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,AzureでのNoSQL、ドキュメント指向データベースの活用に興味のある開発者、アーキテクトの皆様、ぜひご参加ください。,Azure DocumentDB,https://azure.microsoft.com/ja-jp/services/documentdb/,,,,,Web開発;#クラウド開発;#Microsoft Azure;#.NET;#クラウド;#ビッグデータ,DBP-016,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Mobile DevOps -?モダンなモバイルアプリ開発から障害対応まで,本セッションでは、DevOps誕生の経緯、コンセプト、導入メリットなどを紹介し、モバイルアプリ開発にフォーカスした DevOps?の実践方法を紹介します。モバイルアプリの開発において迅速なサービスの開発・展開はとても重要で、これを実現するための各種プロセスの自動化も重要です。iOSやXamarin のアプリ開発からデバッグ、継続的インテグレーション、デリバリー、デプロイ、運用の自動化や障害解析にも強い環境を、Visual Studio Team Services や Hockey App などのツールを使いながら、デモを中心にご紹介していきます。,7.DevOps & OSS,300,開発者;#ITプロ,鈴木 章太郎,shosuz,スズキ　ショウタロウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカルエバンジェリスト,日本語,,Internal Only,"Xamarin, iOS, Android などモバイル・アプリケーション開発に携わるすべての皆様、モバイルアプリの開発・運用プロセスを改善し利用状況や障害対応を容易にしたいと考える方はぜひご参加ください",,,,,,,DevOps(チーム開発);#OSS;#開発言語;#エンタープライズモビリティ;#クロスプラットフォーム,DOO-006,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
ハイブリッドクラウド環境でのネットワークとセキュリティ ～ Azure とのプライベート接続 ～,本セッションではすでに本格化しつつあるハイブリッドクラウド環境を実現するためのネットワークやセキュリティの手法をご紹介します。オンプレミス環境のインフラストラクチャと Azure とのプライベート接続である ExpressRoute を中心として、実際に利用する上での考慮点からデモやユーザ事例を交えた最新情報までご説明いたします。,3.Infrastructure,300,ITプロ;#アーキテクト,水谷 広巳,himizuta,ミズタニ ヒロミ,日本マイクロソフト株式会社,クラウド&ソリューションビジネス統括本部　Azure 技術部,クラウドソリューションアーキテクト,日本語,,Internal Only,,,,,,,,Microsoft Azure;#クラウド,INF-005,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
